iter	Passed	Remaining
654	5898	3107
655	5906	3097
656	5913	3087
657	5921	3077
658	5929	3068
659	5937	3058
660	5946	3049
661	5953	3039
662	5961	3030
663	5969	3020
664	5976	3010
665	5984	3001
666	5993	2992
667	6002	2983
668	6010	2973
669	6017	2963
670	6026	2954
671	6033	2945
672	6042	2935
673	6052	2927
674	6059	2917
675	6069	2909
676	6078	2899
677	6087	2891
678	6096	2882
679	6105	2873
680	6114	2864
681	6124	2855
682	6134	2847
683	6142	2837
684	6151	2828
685	6159	2819
686	6168	2810
687	6176	2800
688	6184	2791
689	6192	2782
690	6201	2773
691	6209	2763
692	6217	2754
693	6225	2744
694	6233	2735
695	6241	2726
696	6249	2716
697	6258	2707
698	6268	2699
699	6275	2689
700	6284	2680
701	6292	2671
702	6303	2662
703	6311	2653
704	6322	2645
705	6346	2642
706	6355	2633
707	6364	2625
708	6372	2615
709	6382	2606
710	6390	2597
711	6399	2588
712	6407	2579
713	6418	2570
714	6425	2561
715	6433	2551
716	6441	2542
717	6450	2533
718	6459	2524
719	6467	2515
720	6476	2506
721	6483	2496
722	6493	2487
723	6502	2478
724	6513	2470
725	6522	2461
726	6533	2453
727	6543	2444
728	6550	2435
729	6559	2426
730	6567	2416
731	6576	2407
732	6584	2398
733	6594	2389
734	6602	2380
735	6613	2372
736	6624	2364
737	6636	2356
738	6648	2348
739	6659	2339
740	6668	2330
741	6678	2322
742	6689	2313
743	6699	2305
744	6707	2295
745	6715	2286
746	6723	2277
747	6731	2267
748	6741	2259
749	6748	2249
750	6758	2240
751	6765	2231
752	6775	2222
753	6783	2213
754	6792	2204
755	6800	2194
756	6809	2185
757	6819	2177
758	6827	2167
759	6835	2158
760	6844	2149
761	6853	2140
762	6861	2131
763	6870	2122
764	6877	2112
765	6890	2105
766	6902	2096
767	6912	2088
768	6921	2079
769	6930	2070
770	6941	2061
771	6950	2052
772	6961	2044
773	6970	2035
774	6980	2026
775	6988	2017
776	6995	2007
777	7004	1998
778	7015	1990
779	7025	1981
780	7035	1972
781	7044	1963
782	7054	1955
783	7063	1946
784	7087	1941
785	7099	1932
786	7109	1924
787	7117	1914
788	7131	1907
789	7139	1897
790	7150	1889
791	7157	1879
792	7167	1870
793	7182	1863
794	7193	1854
795	7205	1846
796	7213	1837
797	7224	1828
798	7232	1819
799	7241	1810
800	7248	1800
801	7257	1791
802	7266	1782
803	7274	1773
804	7282	1764
805	7290	1754
806	7298	1745
807	7307	1736
808	7321	1728
809	7331	1719
810	7340	1710
811	7348	1701
812	7355	1691
813	7367	1683
814	7375	1674
815	7381	1664
816	7389	1655
817	7396	1645
818	7405	1636
819	7413	1627
820	7421	1618
821	7428	1608
822	7438	1599
823	7445	1590
824	7453	1580
825	7460	1571
826	7468	1562
827	7476	1553
828	7483	1543
829	7492	1534
830	7499	1525
831	7508	1516
832	7515	1506
833	7523	1497
834	7531	1488
835	7540	1479
836	7547	1469
837	7555	1460
838	7565	1451
839	7574	1442
840	7582	1433
841	7593	1424
842	7601	1415
843	7615	1407
844	7622	1398
845	7630	1389
846	7638	1379
847	7647	1370
848	7657	1361
849	7666	1352
